name_en;country_en;nominatim_query;country_code;population
Aachen;Germany;Aachen;DE;247380.0
Aalborg;Denmark;;DK;219476.0
Aarhus;Denmark;;DK;352315.0
Aix-En-Provence;France;Aix-En-Provence;FR;142668.0
Alcalá De Henares;Spain;Alcalá De Henares;ES;195570.0
Alchevsk;Ukraine;Alchevsk;UA;105580.0
Alcobendas;Spain;Alcobendas;ES;116895.0
Alcorcón;Spain;Alcorcón;ES;171575.0
Alkmaar;Netherlands;Alkmaar;NL;107106.0
Almere;Netherlands;Almere;NL;196932.0
Almería;Spain;Almería;ES;200273.0
Alphen Aan Den;Netherlands;Alphen Aan Den;NL;107396.0
Amadora;Portugal;Amadora;PT;171454.0
Amersfoort;Netherlands;Amersfoort 16;NL;152481.0
Amiens;France;Amiens;FR;132874.0
Amsterdam;Netherlands;Amsterdam, North Holland;NL;821752.0
Anderlecht;Belgium;Anderlecht;BE;108940.0
Andorra la Vella;Andorra;Andorra la Vella;AD;22205.0
Angers;France;Angers;FR;151520.0
Antwerp;Belgium;Antwerp;BE;498473.0
Apeldoorn;Netherlands;Apeldoorn;NL;158099.0
Argenteuil;France;Argenteuil;FR;110388.0
Arnhem;Netherlands;Arnhem;NL;152293.0
Athens;Greece;Municipality of Athens;GR;664046.0
Augsburg;Germany;Augsburg;DE;295135.0
Badalona;Spain;Badalona;ES;221750.0
Banja Luka;Bosnia And Herzegovina;Banja Luka;BA;135059.0
Baranovichi;Belarus;Baranovichi;BY;175050.0
Barcelona;Spain;Barcelona;ES;1627559.0
Bari;Italy;Bari;IT;316577.0
Basel;Switzerland;Basel;CH;173064.0
Belfast;United Kingdom;Belfast City District;GB;280211.0
Belgrade;Serbia;Belgrade;RS;1382045.0
Berdyansk;Ukraine;Berdyansk;UA;106526.0
Bergamo;Italy;Bergamo;IT;119735.0
Bergisch Gladbach;Germany;Bergisch Gladbach;DE;111966.0
Berlin;Germany;Berlin;DE;3644826.0
Bern;Switzerland;Bern;CH;134290.0
Besançon;France;Besançon;FR;116676.0
Bialystok;Poland;Bialystok;PL;295092.0
Bielefeld;Germany;Bielefeld;DE;333786.0
Bielsko-Biala;Poland;Bielsko-Biala;PL;168499.0
Bila Tserkva;Ukraine;Bila Tserkva;UA;203344.0
Birmingham;United Kingdom;Birmingham;GB;1085810.0
Bobruisk;Belarus;Bobruisk;BY;212217.0
Bochum;Germany;Bochum;DE;364628.0
Bologna;Italy;Bologna;IT;389764.0
Bonn;Germany;Bonn;DE;327258.0
Bordeaux;France;Bordeaux;FR;249712.0
Borisov;Belarus;Borisov;BY;140678.0
Bottrop;Germany;Bottrop;DE;117383.0
Boulogne-Billancourt;France;Boulogne-Billancourt;FR;117931.0
Bournemouth;United Kingdom;Bournemouth;GB;187503.0
Bratislava;Slovakia;Bratislava;SK;435296.0
Braunschweig;Germany;Braunschweig;DE;248292.0
Breda;Netherlands;Breda;NL;180937.0
Bremen;Germany;Bremen;DE;569352.0
Bremerhaven;Germany;Bremerhaven;DE;113634.0
Brescia;Italy;Brescia, Brescia;IT;196605.0
Brest;Belarus;Brest, Belarus;BY;339519.0
Brest;France;Brest;FR;139163.0
Brighton And Hove;United Kingdom;Brighton And Hove;GB;229700.0
Bristol;United Kingdom;Bristol;GB;535907.0
Brno;Czech Republic;Brno;CZ;398510.0
Brovary;Ukraine;Brovary;UA;109154.0
Bruges;Belgium;Bruges;BE;117260.0
Brussels;Belgium;Brussels;BE;174383.0
Bucharest;Romania;Bucharest;RO;1722865.0
Budapest;Hungary;Budapest;HU;1737026.0
Bydgoszcz;Poland;Bydgoszcz;PL;347716.0
Bytom;Poland;Bytom;PL;162766.0
Caen;France;Caen;FR;106260.0
Cagliari;Italy;Cagliari;IT;149332.0
Castelló De La Plana;Spain;Castelló De La Plana;ES;172637.0
Charleroi;Belgium;Charleroi;BE;204150.0
Chemnitz;Germany;Chemnitz;DE;247237.0
Cherkasy;Ukraine;Cherkasy, Cherkasy;UA;267361.0
Chernihiv;Ukraine;Chernihiv, Chernihiv;UA;276927.0
Chernivtsi;Ukraine;Chernivtsi;UA;260540.0
Chișinău;Moldova;Chișinău;MD;339079.0
Chorzów;Poland;Chorzów;PL;106717.0
Clermont-Ferrand;France;Clermont-Ferrand;FR;141398.0
Cologne;Germany;Cologne;DE;1085664.0
Copenhagen;Denmark;;DK;638790.0
Cork;Ireland;Cork;IE;124391.0
Cottbus;Germany;Cottbus;DE;100219.0
Coventry;United Kingdom;Coventry, United Kingdom;GB;325949.0
Czestochowa;Poland;Czestochowa;PL;218812.0
Dabrowa Górnicza;Poland;Dabrowa Górnicza;PL;118003.0
Darmstadt;Germany;Darmstadt;DE;159207.0
Debrecen;Hungary;Debrecen;HU;201043.0
Delft;Netherlands;Delft;NL;101030.0
Derby;United Kingdom;Derby;GB;255394.0
Dijon;France;Dijon;FR;155114.0
Dnipro;Ukraine;Dnipro;UA;958377.0
Donetsk;Ukraine;Donetsk, Donetsk;UA;892980.0
Dordrecht;Netherlands;Dordrecht;NL;118899.0
Dortmund;Germany;Dortmund;DE;587010.0
Dresden;Germany;Dresden;DE;554649.0
Dublin;Ireland;Dublin;IE;544107.0
