0;A Coruña;A Coruña;A Coruña;ES;245541
1;Aachen;Aachen;Aachen;DE;247380
2;Aalborg;Aalborg;Aalborg Municipality;DK;219476
3;Aarhus;Aarhus;Aarhus Municipality;DK;352315
4;Aberdeen;Aberdeen;Aberdeen;GB;207932
5;Aix-En-Provence;Aix-En-Provence;Aix-En-Provence;FR;142668
6;Albacete;Albacete;Albacete;ES;172806
7;Alcalá De Henares;Alcalá De Henares;Alcalá De Henares;ES;195570
8;Alchevsk;Alchevsk;Alchevsk;UA;105580
9;Alcobendas;Alcobendas;Alcobendas;ES;116895
10;Alcorcón;Alcorcón;Alcorcón;ES;171575
11;Algeciras;Algeciras;Algeciras;ES;123435
12;Alicante/Alacant;Alicante/Alacant;Alicante/Alacant;ES;338768
13;Alkmaar;Alkmaar;Alkmaar;NL;107106
14;Almere;Almere;Almere;NL;196932
15;Almería;Almería;Almería;ES;200273
16;Alphen Aan Den;Alphen Aan Den;Alphen Aan Den;NL;107396
17;Amadora;Amadora;Amadora;PT;171454
18;Amersfoort;Amersfoort;Amersfoort 16;NL;152481
19;Amiens;Amiens;Amiens;FR;132874
20;Anderlecht;Anderlecht;Anderlecht;BE;108940
21;Angers;Angers;Angers;FR;151520
22;Antwerp;Antwerp;Antwerp;BE;498473
23;Apeldoorn;Apeldoorn;Apeldoorn;NL;158099
24;Argenteuil;Argenteuil;Argenteuil;FR;110388
25;Arnhem;Arnhem;Arnhem;NL;152293
26;Augsburg;Augsburg;Augsburg;DE;295135
27;Badajoz;Badajoz;Badajoz;ES;151048
28;Badalona;Badalona;Badalona;ES;221750
29;Banja Luka;Banja Luka;Banja Luka;BA;135059
30;Barakaldo;Barakaldo;Barakaldo;ES;100847
31;Baranovichi;Baranovichi;Baranovichi;BY;175050
32;Barcelona;Barcelona;Barcelona;ES;1627559
33;Bari;Bari;Bari;IT;316577
34;Basel;Basel;Basel;CH;173064
35;Belfast;Belfast;Belfast City District;GB;280211
36;Berdyansk;Berdyansk;Berdyansk;UA;106526
37;Bergamo;Bergamo;Bergamo;IT;119735
38;Bergisch Gladbach;Bergisch Gladbach;Bergisch Gladbach;DE;111966
39;Besançon;Besançon;Besançon;FR;116676
40;Bialystok;Bialystok;Bialystok;PL;295092
41;Bielefeld;Bielefeld;Bielefeld;DE;333786
42;Bielsko-Biala;Bielsko-Biala;Bielsko-Biala;PL;168499
43;Bila Tserkva;Bila Tserkva;Bila Tserkva;UA;203344
44;Bilbao;Bilbao;Bilbao;ES;345749
45;Birmingham;Birmingham;Birmingham;GB;1085810
46;Bobruisk;Bobruisk;Bobruisk;BY;212217
47;Bochum;Bochum;Bochum;DE;364628
48;Bologna;Bologna;Bologna;IT;389764
49;Bolton;Bolton;Bolton;GB;194189
50;Bolzano;Bolzano;Bolzano, Bolzano;IT;107034
51;Bonn;Bonn;Bonn;DE;327258
52;Bordeaux;Bordeaux;Bordeaux;FR;249712
53;Borisov;Borisov;Borisov;BY;140678
54;Bottrop;Bottrop;Bottrop;DE;117383
55;Boulogne-Billancourt;Boulogne-Billancourt;Boulogne-Billancourt;FR;117931
56;Bournemouth;Bournemouth;Bournemouth;GB;187503
57;Bradford;Bradford;Bradford, West Yorkshire;GB;349561
