name_en;country_en;nominatim_query
Amsterdam;Netherlands;Amsterdam, North Holland
Andorra la Vella;Andorra;Andorra la Vella
Athens;Greece;Municipality of Athens
Belgrade;Serbia;Belgrade
Berlin;Germany;Berlin
Bern;Switzerland;Bern
Bratislava;Slovakia;Bratislava
Brussels;Belgium;Brussels
Bucharest;Romania;Bucharest
Budapest;Hungary;Budapest
Chișinău;Moldova;Chișinău
Copenhagen;Denmark;
Dublin;Ireland;Dublin
Helsinki;Finland;Helsinki
Kyiv;Ukraine;Kyiv
Lisbon;Portugal;Lisbon
Ljubljana;Slovenia;Ljubljana
London;United Kingdom;London
Luxembourg;Luxembourg;Luxembourg, Luxembourg
Madrid;Spain;Madrid
Minsk;Belarus;Minsk
Oslo;Norway;Oslo
Paris;France;Paris
Podgorica;Montenegro;Podgorica
Prague;Czech Republic;Prague
Pristina;Kosovo;Pristina
Reykjavík;Iceland;Reykjavík
Riga;Latvia;Riga
Rome;Italy;Rome
Sarajevo;Bosnia and Herzegovina;Sarajevo
Skopje;North Macedonia;Skopje
Sofia;Bulgaria;Sofia
Stockholm;Sweden;Stockholm
Tallinn;Estonia;Tallinn
Tirana;Albania;Tirana
Vienna;Austria;Vienna
Vilnius;Lithuania;Vilnius
Warsaw;Poland;Warsaw
Zagreb;Croatia;Zagreb city
