cityid;name_en;country_en;nominatim_query;country_code;population;center_lat;center_lon
aachen_de;Aachen;Germany;Aachen;DE;247380;50.75498;6.09908
aalborg_dk;Aalborg;Denmark;;DK;219476;57.02763;9.94273
aarhus_dk;Aarhus;Denmark;;DK;352315;56.15904;10.18982
aixenprovence_fr;Aix-En-Provence;France;Aix-En-Provence;FR;142668;43.53606;5.39475
alcaladehenares_es;Alcalá De Henares;Spain;Alcalá De Henares;ES;195570;40.49541;-3.35761
alchevsk_ua;Alchevsk;Ukraine;Alchevsk;UA;105580;48.47268;38.80826
alcobendas_es;Alcobendas;Spain;Alcobendas;ES;116895;40.53301;-3.63686
alcorcon_es;Alcorcón;Spain;Alcorcón;ES;171575;40.34389;-3.83072
alkmaar_nl;Alkmaar;Netherlands;Alkmaar;NL;107106;52.59884;4.80125
almere_nl;Almere;Netherlands;Almere;NL;196932;52.36879;5.25052
almeria_es;Almería;Spain;Almería;ES;200273;36.85187;-2.36862
alphenaanden_nl;Alphen Aan Den;Netherlands;Alphen Aan Den;NL;107396;52.12923;4.66726
amadora_pt;Amadora;Portugal;Amadora;PT;171454;38.75926;-9.22676
amersfoort_nl;Amersfoort;Netherlands;Amersfoort 16;NL;152481;52.17234;5.4043
amiens_fr;Amiens;France;Amiens;FR;132874;49.90253;2.29249
amsterdam_nl;Amsterdam;Netherlands;Amsterdam, North Holland;NL;821752;52.37452;4.88481
anderlecht_be;Anderlecht;Belgium;Anderlecht;BE;108940;50.82832;4.297
andorralavella_ad;Andorra la Vella;Andorra;Andorra la Vella;AD;22205;42.50207;1.51457
angers_fr;Angers;France;Angers;FR;151520;47.47783;-0.56343
antwerp_be;Antwerp;Belgium;Antwerp;BE;498473;51.26262;4.37774
apeldoorn_nl;Apeldoorn;Netherlands;Apeldoorn;NL;158099;52.17544;5.89702
argenteuil_fr;Argenteuil;France;Argenteuil;FR;110388;48.94817;2.24765
arnhem_nl;Arnhem;Netherlands;Arnhem;NL;152293;51.99317;5.89902
athens_gr;Athens;Greece;Municipality of Athens;GR;664046;37.98911;23.74494
augsburg_de;Augsburg;Germany;Augsburg;DE;295135;48.35928;10.88734
badalona_es;Badalona;Spain;Badalona;ES;221750;41.45565;2.2417
banjaluka_ba;Banja Luka;Bosnia And Herzegovina;Banja Luka;BA;135059;44.77903;17.20204
baranovichi_by;Baranovichi;Belarus;Baranovichi;BY;175050;53.12645;26.00341
barcelona_es;Barcelona;Spain;Barcelona;ES;1627559;41.3949;2.15421
bari_it;Bari;Italy;Bari;IT;316577;41.10187;16.87499
basel_ch;Basel;Switzerland;Basel;CH;173064;47.55725;7.59456
belfast_gb;Belfast;United Kingdom;Belfast City District;GB;280211;54.59744;-5.93538
belgrade_rs;Belgrade;Serbia;Belgrade;RS;1382045;44.8113;20.43077
berdyansk_ua;Berdyansk;Ukraine;Berdyansk;UA;106526;46.73045;36.78704
bergamo_it;Bergamo;Italy;Bergamo;IT;119735;45.7519;9.82662
bergischgladbach_de;Bergisch Gladbach;Germany;Bergisch Gladbach;DE;111966;50.97917;7.15733
berlin_de;Berlin;Germany;Berlin;DE;3644826;52.50318;13.41674
bern_ch;Bern;Switzerland;Bern;CH;134290;46.95227;7.40432
besancon_fr;Besançon;France;Besançon;FR;116676;47.24536;6.00537
bialystok_pl;Bialystok;Poland;Bialystok;PL;295092;53.12506;23.1572
bielefeld_de;Bielefeld;Germany;Bielefeld;DE;333786;52.01555;8.53054
bielskobiala_pl;Bielsko-Biala;Poland;Bielsko-Biala;PL;168499;49.82206;19.04311
bilatserkva_ua;Bila Tserkva;Ukraine;Bila Tserkva;UA;203344;49.80452;30.11552
birmingham_gb;Birmingham;United Kingdom;Birmingham;GB;1085810;52.49495;-1.89025
bobruisk_by;Bobruisk;Belarus;Bobruisk;BY;212217;53.1456;29.22396
bochum_de;Bochum;Germany;Bochum;DE;364628;51.47099;7.22886
bologna_it;Bologna;Italy;Bologna;IT;389764;44.49661;11.32851
bonn_de;Bonn;Germany;Bonn;DE;327258;50.70955;7.11834
bordeaux_fr;Bordeaux;France;Bordeaux;FR;249712;44.86088;-0.58361
borisov_by;Borisov;Belarus;Borisov;BY;140678;54.22248;28.51222
bottrop_de;Bottrop;Germany;Bottrop;DE;117383;51.57017;6.92531
boulognebillancourt_fr;Boulogne-Billancourt;France;Boulogne-Billancourt;FR;117931;48.83567;2.24279
