cityid,cov_ratio,l_ratio,gcc1,gcc2,gcc3
aachen_de,0.70,0.27,0.12,0.10,0.07
aalborg_dk,0.91,0.45,0.49,0.12,0.06
aarhus_dk,0.90,0.44,0.30,0.13,0.10
aixenprovence_fr,0.32,0.09,0.12,0.05,0.04
alcaladehenares_es,0.46,0.10,0.17,0.07,0.06
alchevsk_ua,0.01,0.00,1.00,0.07,0.06
alcobendas_es,0.79,0.18,0.31,0.04,0.03
alcorcon_es,0.61,0.18,0.25,0.17,0.12
alkmaar_nl,0.51,0.27,0.31,0.25,0.04
almere_nl,0.95,0.44,0.87,0.01,0.01
almeria_es,0.38,0.14,0.54,0.10,0.03
alphenaanden_nl,0.86,0.60,0.70,0.02,0.02
amadora_pt,0.27,0.02,0.25,0.09,0.08
amersfoort_nl,0.95,0.30,0.28,0.23,0.11
amiens_fr,0.70,0.21,0.13,0.06,0.05
amsterdam_nl,0.96,0.44,0.77,0.11,0.01
anderlecht_be,0.86,0.23,0.26,0.21,0.09
andorralavella_ad,0.55,0.12,0.60,0.11,0.09
angers_fr,0.87,0.19,0.14,0.06,0.05
antwerp_be,0.90,0.53,0.80,0.05,0.02
apeldoorn_nl,0.86,0.45,0.36,0.18,0.07
argenteuil_fr,0.45,0.06,0.13,0.12,0.08
arnhem_nl,1.04,0.48,0.74,0.02,0.01
athens_gr,0.35,0.03,0.50,0.06,0.05
augsburg_de,0.87,0.43,0.30,0.20,0.06
badalona_es,0.91,0.17,0.09,0.08,0.05
banjaluka_ba,0.23,0.08,0.28,0.17,0.09
baranovichi_by,0.31,0.06,0.12,0.09,0.07
barcelona_es,0.91,0.32,0.64,0.02,0.01
bari_it,0.31,0.06,0.12,0.08,0.08
basel_ch,0.88,0.16,0.10,0.06,0.05
belfast_gb,0.47,0.09,0.14,0.05,0.04
belgrade_rs,0.24,0.06,0.59,0.03,0.02
berdyansk_ua,0.01,0.00,0.56,0.44,0.02
bergamo_it,0.88,0.38,0.02,0.01,0.01
bergischgladbach_de,0.64,0.22,0.19,0.12,0.08
berlin_de,0.79,0.29,0.19,0.06,0.05
bern_ch,0.64,0.22,0.17,0.06,0.04
besancon_fr,0.76,0.23,0.20,0.05,0.04
bialystok_pl,0.88,0.42,0.65,0.03,0.01
bielefeld_de,0.61,0.22,0.07,0.07,0.06
bielskobiala_pl,0.62,0.20,0.05,0.04,0.04
bilatserkva_ua,0.31,0.08,0.10,0.08,0.07
birmingham_gb,0.48,0.10,0.21,0.07,0.05
bobruisk_by,0.12,0.03,0.19,0.19,0.15
bochum_de,0.82,0.24,0.08,0.04,0.03
bologna_it,0.59,0.23,0.33,0.07,0.04
bonn_de,0.89,0.28,0.11,0.06,0.05
bordeaux_fr,0.81,0.19,0.08,0.08,0.06
borisov_by,0.09,0.02,0.16,0.14,0.13
bottrop_de,0.72,0.33,0.22,0.10,0.05
boulognebillancourt_fr,0.73,0.11,0.14,0.13,0.12
bournemouth_gb,0.64,0.11,0.09,0.07,0.07
bratislava_sk,0.60,0.18,0.30,0.05,0.02
braunschweig_de,0.98,0.59,0.63,0.03,0.02
breda_nl,0.74,0.32,0.68,0.02,0.02
bremen_de,0.85,0.53,0.72,0.03,0.03
bremerhaven_de,0.77,0.36,0.70,0.06,0.04
brescia_it,0.70,0.19,0.14,0.09,0.06
brest_by,0.33,0.12,0.21,0.04,0.04
brest_fr,0.63,0.12,0.18,0.13,0.10
brightonandhove_gb,0.52,0.08,0.16,0.11,0.09
bristol_gb,0.63,0.10,0.07,0.06,0.06
brno_cz,0.58,0.14,0.05,0.05,0.03
brovary_ua,0.21,0.07,0.41,0.19,0.16
bruges_be,0.67,0.44,0.64,0.07,0.03
brussels_be,1.05,0.52,0.45,0.19,0.08
bucharest_ro,0.50,0.06,0.08,0.04,0.04
budapest_hu,0.51,0.13,0.09,0.08,0.04
bydgoszcz_pl,0.58,0.27,0.27,0.14,0.10
bytom_pl,0.45,0.13,0.06,0.05,0.04
caen_fr,0.89,0.24,0.45,0.04,0.03
cagliari_it,0.51,0.09,0.16,0.12,0.10
castellodelaplana_es,0.53,0.15,0.55,0.08,0.05
charleroi_be,0.50,0.11,0.13,0.07,0.07
chemnitz_de,0.59,0.16,0.10,0.06,0.05
cherkasy_ua,0.08,0.02,0.65,0.11,0.11
chernihiv_ua,0.28,0.11,0.29,0.09,0.07
chernivtsi_ua,0.04,0.00,0.25,0.24,0.20
chisinau_md,0.24,0.06,0.11,0.11,0.06
chorzow_pl,0.95,0.36,0.39,0.06,0.06
clermontferrand_fr,0.60,0.11,0.22,0.10,0.07
cologne_de,0.88,0.35,0.33,0.16,0.04
copenhagen_dk,1.01,0.49,0.87,0.01,0.01
cork_ie,0.28,0.07,0.13,0.05,0.04
cottbus_de,0.68,0.41,0.65,0.03,0.03
coventry_gb,0.54,0.11,0.10,0.09,0.08
czestochowa_pl,0.46,0.27,0.66,0.04,0.03
dabrowagornicza_pl,0.36,0.23,0.39,0.06,0.05
darmstadt_de,0.93,0.34,0.19,0.10,0.03
debrecen_hu,0.33,0.14,0.45,0.10,0.04
delft_nl,1.19,0.57,0.65,0.09,0.06
derby_gb,0.72,0.17,0.34,0.09,0.06
dijon_fr,0.62,0.11,0.13,0.12,0.07
dnipro_ua,0.22,0.05,0.28,0.03,0.03
donetsk_ua,0.08,0.02,0.14,0.12,0.12
dordrecht_nl,0.92,0.49,0.51,0.10,0.08
dortmund_de,0.79,0.28,0.10,0.04,0.02
dresden_de,0.63,0.22,0.09,0.04,0.04
dublin_ie,0.49,0.09,0.19,0.04,0.03
duisburg_de,0.89,0.41,0.38,0.10,0.08
durres_al,0.34,0.02,0.20,0.19,0.07
dusseldorf_de,0.93,0.47,0.25,0.17,0.07
ede_nl,1.17,0.62,0.70,0.02,0.02
eindhoven_nl,0.93,0.35,0.86,0.01,0.01
elblag_pl,0.48,0.29,0.78,0.04,0.03
emmen_nl,0.84,0.45,0.33,0.27,0.05
enschede_nl,0.70,0.32,0.26,0.15,0.08
erfurt_de,0.59,0.27,0.10,0.05,0.03
erlangen_de,0.77,0.38,0.27,0.20,0.12
esbjerg_dk,1.32,0.64,0.32,0.13,0.10
espoo_fi,0.79,0.86,0.92,0.00,0.00
essen_de,0.78,0.22,0.05,0.04,0.03
florence_it,0.48,0.15,0.32,0.10,0.08
frankfurtammain_de,0.90,0.31,0.08,0.07,0.06
frederiksberg_dk,0.94,0.41,0.91,0.02,0.02
freiburgimbreisgau_de,0.79,0.42,0.46,0.05,0.04
funchal_pt,0.31,0.04,0.19,0.17,0.09
furth_de,0.67,0.22,0.07,0.07,0.07
gdansk_pl,0.58,0.25,0.41,0.05,0.04
gdynia_pl,0.60,0.20,0.19,0.12,0.10
gelsenkirchen_de,0.92,0.44,0.29,0.17,0.04
geneva_ch,0.99,0.29,0.16,0.08,0.04
ghent_be,0.81,0.37,0.37,0.07,0.07
glasgow_gb,0.56,0.12,0.26,0.05,0.04
gliwice_pl,0.59,0.23,0.12,0.11,0.10
gomel_by,0.13,0.04,0.36,0.06,0.06
gorzowwielkopolski_pl,0.63,0.40,0.34,0.07,0.06
gothenburg_se,0.67,0.38,0.71,0.03,0.02
graz_at,0.71,0.22,0.17,0.09,0.09
grenoble_fr,0.97,0.32,0.43,0.12,0.07
grodno_by,0.27,0.06,0.10,0.07,0.06
groningen_nl,0.90,0.38,0.65,0.15,0.01
gyor_hu,0.41,0.19,0.42,0.22,0.14
gottingen_de,0.77,0.42,0.61,0.02,0.01
