cityid,cov_ratio,l_ratio,gcc1,gcc2,gcc3
aachen_de,0.62,0.23,0.13,0.11,0.07
aix-en-provence_fr,0.22,0.07,0.14,0.06,0.05
alcala-de-henares_es,0.33,0.08,0.21,0.08,0.07
alchevsk_ua,0.01,0.00,1.00,0.08,0.07
alcobendas_es,0.71,0.16,0.31,0.04,0.03
alcorcon_es,0.54,0.15,0.27,0.18,0.13
alkmaar_nl,0.51,0.26,0.31,0.25,0.05
almere_nl,0.94,0.42,0.88,0.01,0.01
almeria_es,0.31,0.13,0.60,0.12,0.02
alphen-aan-den_nl,0.84,0.56,0.70,0.03,0.01
amadora_pt,0.26,0.02,0.26,0.09,0.08
amersfoort_nl,0.88,0.28,0.28,0.23,0.10
amiens_fr,0.66,0.17,0.06,0.06,0.05
amsterdam_nl,1.11,0.48,0.67,0.12,0.09
anderlecht_be,0.80,0.19,0.31,0.22,0.11
andorra-la-vella_ad,0.34,0.09,0.81,0.13,0.04
angers_fr,0.84,0.14,0.07,0.07,0.03
antwerp_be,0.89,0.44,0.81,0.05,0.02
apeldoorn_nl,0.77,0.40,0.40,0.19,0.07
argenteuil_fr,0.38,0.04,0.16,0.10,0.08
arnhem_nl,0.93,0.42,0.48,0.27,0.02
athens_gr,0.29,0.01,0.25,0.16,0.12
augsburg_de,0.84,0.40,0.31,0.20,0.05
badalona_es,0.67,0.12,0.11,0.10,0.07
banja-luka_ba,0.21,0.07,0.31,0.18,0.09
baranovichi_by,0.18,0.04,0.18,0.13,0.10
barcelona_es,0.76,0.28,0.66,0.02,0.01
bari_it,0.29,0.05,0.12,0.08,0.08
basel_ch,0.87,0.15,0.10,0.06,0.05
belfast_gb,0.44,0.08,0.17,0.05,0.04
belgrade_rs,0.23,0.05,0.62,0.02,0.02
berdyansk_ua,0.00,0.00,0.00,0.00,0.00
bergamo_it,0.32,0.10,0.04,0.03,0.02
bergisch-gladbach_de,0.57,0.18,0.18,0.14,0.09
berlin_de,0.74,0.27,0.21,0.07,0.05
