cityid,sb,gbn,gbn+,lbn,fbn
aachen_de,1,0,0,1,0
aalborg_dk,1,0,0,1,0
aarhus_dk,1,0,0,1,0
aixenprovence_fr,1,0,1,1,0
alcaladehenares_es,1,0,1,1,0
alchevsk_ua,1,1,0,0,0
alcobendas_es,1,0,0,1,0
alcorcon_es,1,0,0,1,0
alkmaar_nl,1,0,0,1,0
almere_nl,1,0,0,0,1
almeria_es,1,0,1,1,0
alphenaanden_nl,1,0,0,0,1
amadora_pt,1,1,1,0,0
amersfoort_nl,1,0,0,1,0
amiens_fr,1,0,0,1,0
amsterdam_nl,1,0,0,0,1
anderlecht_be,1,0,0,1,0
andorralavella_ad,1,0,0,0,1
angers_fr,1,0,0,1,0
antwerp_be,1,0,0,0,1
apeldoorn_nl,1,0,0,1,0
argenteuil_fr,1,0,1,1,0
arnhem_nl,1,0,0,0,1
athens_gr,1,0,1,1,0
augsburg_de,1,0,0,1,0
badalona_es,1,0,0,1,0
banjaluka_ba,1,0,1,1,0
baranovichi_by,1,0,1,1,0
barcelona_es,1,0,0,1,1
bari_it,1,0,1,1,0
basel_ch,1,0,0,1,0
belfast_gb,1,0,1,1,0
belgrade_rs,1,0,1,1,0
berdyansk_ua,1,1,0,0,0
bergamo_it,1,1,0,0,0
bergischgladbach_de,1,0,0,1,0
berlin_de,1,0,0,1,0
bern_ch,1,0,0,1,0
besancon_fr,1,0,0,1,0
bialystok_pl,1,0,0,1,1
bielefeld_de,1,0,0,1,0
bielskobiala_pl,1,1,0,0,0
bilatserkva_ua,1,0,1,1,0
birmingham_gb,1,0,1,1,0
bobruisk_by,1,1,1,0,0
bochum_de,1,1,0,0,0
bologna_it,1,0,0,1,0
bonn_de,1,0,0,1,0
bordeaux_fr,1,0,0,1,0
borisov_by,1,1,1,0,0
bottrop_de,1,0,0,1,0
boulognebillancourt_fr,1,0,0,1,0
bournemouth_gb,1,0,0,1,0
bratislava_sk,1,0,0,1,0
braunschweig_de,1,0,0,1,1
breda_nl,1,0,0,0,1
bremen_de,1,0,0,0,1
bremerhaven_de,1,0,0,0,1
brescia_it,1,0,0,1,0
brest_by,1,0,1,1,0
brest_fr,1,0,0,1,0
brightonandhove_gb,1,0,0,1,0
bristol_gb,1,0,0,1,0
brno_cz,1,1,0,0,0
