city,city_eng
Mariehamn,Mariehamn
Durrës,Durrës
Tirana,Tirana
Andorra La Vella,Andorra La Vella
Graz,Graz
Innsbruck,Innsbruck
Klagenfurt,Klagenfurt
Linz,Linz
Salzburg,Salzburg
Wien,Vienna
Baranovichi,Baranovichi
Bobruisk,Bobruisk
Borisov,Borisov
Brest,Brest
Gomel,Gomel
Grodno,Grodno
Lida,Lida
Minsk,Minsk
Mogilev,Mogilev
Mozir,Mozir
Orsha,Orsha
Pinsk,Pinsk
Soligorsk,Soligorsk
Vitebsk,Vitebsk
Anderlecht,Anderlecht
Antwerpen,Antwerp
Brugge,Bruges
Bruxelles,Brussels
Charleroi,Charleroi
Gent,Ghent
Liège,Liège
Namur,Namur
Schaerbeek,Schaerbeek
Burgas,Burgas
Plovdiv,Plovdiv
Ruse,Ruse
Sofia,Sofia
Stara Zagora,Stara Zagora
Varna,Varna
Osijek,Osijek
Rijeka,Rijeka
Split,Split
Zagreb,Zagreb
Brno,Brno
Liberec,Liberec
Olomouc,Olomouc
Ostrava,Ostrava
Plzen,Pilsen
Praha,Prague
Ålborg,Aalborg
Århus,Aarhus
Esbjerg,Esbjerg
Frederiksberg,Frederiksberg
Kobenhavn,Copenhagen
Odense,Odense
Vejle,Vejle
Tallinn,Tallinn
Tórshavn,Tórshavn
Espoo,Espoo
Helsinki,Helsinki
Jyvaskyla,Jyvaskyla
Kuopio,Kuopio
Lahti,Lahti
Oulu,Oulu
Tampere,Tampere
Turku,Turku
Vantaa,Vantaa
Aix-En-Provence,Aix-En-Provence
Amiens,Amiens
Angers,Angers
Argenteuil,Argenteuil
Besançon,Besançon
Bordeaux,Bordeaux
Boulogne-Billancourt,Boulogne-Billancourt
Brest,Brest
Caen,Caen
Clermont-Ferrand,Clermont-Ferrand
Dijon,Dijon
Grenoble,Grenoble
Le Havre,Le Havre
Le Mans,Le Mans
Lille,Lille
Limoges,Limoges
Lyon,Lyon
Marseille,Marseille
Metz,Metz
Montpellier,Montpellier
Montreuil,Montreuil
Mulhouse,Mulhouse
Nancy,Nancy
Nantes,Nantes
Nice,Nice
Nîmes,Nîmes
Orléans,Orléans
Paris,Paris
Perpignan,Perpignan
Reims,Reims
Rennes,Rennes
Rouen,Rouen
Saint-Denis,Saint-Denis
Saint-Étienne,Saint-Étienne
Strasbourg,Strasbourg
Toulon,Toulon
Toulouse,Toulouse
Tours,Tours
Villeurbanne,Villeurbanne
Aachen,Aachen
Augsburg,Augsburg
Bergisch Gladbach,Bergisch Gladbach
Berlin,Berlin
Bielefeld,Bielefeld
Bochum,Bochum
Bonn,Bonn
Bottrop,Bottrop
Braunschweig,Braunschweig
Bremen,Bremen
Bremerhaven,Bremerhaven
Chemnitz,Chemnitz
Cottbus,Cottbus
Darmstadt,Darmstadt
Dortmund,Dortmund
Dresden,Dresden
Duisburg,Duisburg
Düsseldorf,Düsseldorf
Erfurt,Erfurt
Erlangen,Erlangen
Essen,Essen
Frankfurt Am Main,Frankfurt Am Main
Freiburg Im Breisgau,Freiburg Im Breisgau
Fürth,Fürth
Gelsenkirchen,Gelsenkirchen
Göttingen,Göttingen
Gütersloh,Gütersloh
Hagen,Hagen
Halle,Halle
Hamburg,Hamburg
Hamm,Hamm
Hannover,Hanover
Heidelberg,Heidelberg
Heilbronn,Heilbronn
Herne,Herne
Hildesheim,Hildesheim
Ingolstadt,Ingolstadt
Jena,Jena
Karlsruhe,Karlsruhe
Kassel,Kassel
Kiel,Kiel
Koblenz,Koblenz
Köln,Cologne
Krefeld,Krefeld
Leipzig,Leipzig
Leverkusen,Leverkusen
Lübeck,Lübeck
Ludwigshafen Am Rhein,Ludwigshafen Am Rhein
Magdeburg,Magdeburg
Mainz,Mainz
Mannheim,Mannheim
Moers,Moers
Mönchengladbach,Mönchengladbach
Mülheim An Der Ruhr,Mülheim An Der Ruhr
München,Munich
Münster,Münster
Neuss,Neuss
Nürnberg,Nuremberg
Oberhausen,Oberhausen
Offenbach Am Main,Offenbach Am Main
Oldenburg,Oldenburg
Osnabrück,Osnabrück
Paderborn,Paderborn
Pforzheim,Pforzheim
Potsdam,Potsdam
Recklinghausen,Recklinghausen
Regensburg,Regensburg
Remscheid,Remscheid
Reutlingen,Reutlingen
Rostock,Rostock
Saarbrücken,Saarbrücken
Salzgitter,Salzgitter
Siegen,Siegen
Solingen,Solingen
Stuttgart,Stuttgart
Trier,Trier
Ulm,Ulm
Wiesbaden,Wiesbaden
Wolfsburg,Wolfsburg
Wuppertal,Wuppertal
Würzburg,Würzburg
Gibraltar,Gibraltar
Athinai,Athens
Calithèa,Calithèa
Iraclion,Heraklion
Larissa,Larissa
Patrai,Patras
Pésterion,Pésterion
Pireas,Piraeus
Thessaloniki,Thessaloniki
St. Peter Port,St. Peter Port
Vatican City,Vatican City
Budapest,Budapest
Debrecen,Debrecen
Györ,Györ
Kecskemét,Kecskemét
Miskolc,Miskolc
Nyiregyhaza,Nyiregyhaza
Pécs,Pécs
Szeged,Szeged
Reykjavik,Reykjavik
Cork,Cork
Dublin,Dublin
Douglas,Douglas
Bari,Bari
Bergamo,Bergamo
Bologna,Bologna
Bolzano,Bolzano
Brescia,Brescia
Cagliari,Cagliari
Catania,Catania
Ferrara,Ferrara
Firenze,Florence
Foggia,Foggia
Forli,Forli
Genova,Genoa
Giugliano In Campania,Giugliano In Campania
Latina,Latina
Livorno,Livorno
Messina,Messina
Milano,Milan
Modena,Modena
Monza,Monza
Napoli,Naples
Novara,Novara
Padova,Padua
Palermo,Palermo
Parma,Parma
Perugia,Perugia
Pescara,Pescara
Piacenza,Piacenza
Prato,Prato
Ravenna,Ravenna
Reggio Di Calabria,Reggio Di Calabria
Reggio Nell'Emilia,Reggio Nell'Emilia
Rimini,Rimini
Roma,Rome
Salerno,Salerno
Sassari,Sassari
Siracusa,Syracuse
Taranto,Taranto
Terni,Terni
Torino,Turin
Trento,Trento
Trieste,Trieste
Venezia,Venice
Verona,Verona
Vicenza,Vicenza
St. Helier,St. Helier
Riga,Riga
Vaduz,Vaduz
Kaunas,Kaunas
Klaipeda,Klaipeda
Shauliai,Shauliai
Vilnius,Vilnius
Luxembourg-Ville,Luxembourg City
Valletta,Valletta
Monaco,Monaco
Podgorica,Podgorica
Alkmaar,Alkmaar
Almere,Almere
Alphen Aan Den,Alphen Aan Den
Amersfoort,Amersfoort
Amsterdam,Amsterdam
Apeldoorn,Apeldoorn
Arnhem,Arnhem
Breda,Breda
Delft,Delft
Dordrecht,Dordrecht
Ede,Ede
Eindhoven,Eindhoven
Emmen,Emmen
Enschede,Enschede
Groningen,Groningen
Haarlem,Haarlem
Haarlemmermeer,Haarlemmermeer
Leeuwarden,Leeuwarden
Leiden,Leiden
Maastricht,Maastricht
Nijmegen,Nijmegen
Rotterdam,Rotterdam
S-Gravenhage,The Hague
S-Hertogenbosch,Den Bosch
Tilburg,Tilburg
Utrecht,Utrecht
Venlo,Venlo
Westland,Westland
Zaanstad,Zaanstad
Zoetermeer,Zoetermeer
Zwolle,Zwolle
Skopje,Skopje
Oslo,Oslo
Bialystok,Bialystok
Bielsko-Biala,Bielsko-Biala
Bydgoszcz,Bydgoszcz
Bytom,Bytom
Chorzów,Chorzów
Czestochowa,Czestochowa
Dabrowa Górnicza,Dabrowa Górnicza
Elblag,Elblag
Gdansk,Gdansk
Gdynia,Gdynia
Gliwice,Gliwice
Gorzów Wielkopolski,Gorzów Wielkopolski
Katowice,Katowice
Kielce,Kielce
Koszalin,Koszalin
Kraków,Krakow
Lódz,Lodz
Lublin,Lublin
Olsztyn,Olsztyn
Opole,Opole
Plock,Plock
Poznan,Poznan
Radom,Radom
Ruda Slaska,Ruda Slaska
Rybnik,Rybnik
Rzeszów,Rzeszów
Sosnowiec,Sosnowiec
Szczecin,Szczecin
Tarnów,Tarnów
Torun,Torun
Tychy,Tychy
Walbrzych,Walbrzych
Warszawa,Warsaw
Wloclawek,Wloclawek
Wroclaw,Wroclaw
Zabrze,Zabrze
Zielona Góra,Zielona Góra
Amadora,Amadora
Braga,Braga
Coimbra,Coimbra
Funchal,Funchal
Lisboa,Lisbon
Porto,Porto
Vila Nova De Gaia,Vila Nova De Gaia
Chișinău,Chisinau
Bucuresti,Bucharest
Abakan,Abakan
Achinsk,Achinsk
Almetievsk,Almetievsk
Anapa,Anapa
Angarsk,Angarsk
Arkhangelsk,Arkhangelsk
Armavir,Armavir
Artem,Artem
Arzamas,Arzamas
Astrakhan,Astrakhan
Balakovo,Balakovo
Balashikha,Balashikha
Barnaul,Barnaul
Bataisk,Bataisk
Belgorod,Belgorod
Belovo,Belovo
Berezniki,Berezniki
Biisk,Biisk
Blagoveshchensk,Blagoveshchensk
Bor,Bor
Bratsk,Bratsk
Bryansk,Bryansk
Cheboksary,Cheboksary
Chelyabinsk,Chelyabinsk
Cherepovets,Cherepovets
Cherkessk,Cherkessk
Chita,Chita
Derbent,Derbent
Dimitrovgrad,Dimitrovgrad
Domodedovo,Domodedovo
Dzerzhinsk,Dzerzhinsk
Ekaterinburg,Ekaterinburg
Elektrostal,Elektrostal
Elets,Elets
Elista,Elista
Engels,Engels
Esentuky,Esentuky
Groznyi,Groznyi
Hasaviurt,Hasaviurt
Irkutsk,Irkutsk
Ivanovo,Ivanovo
Izhevsk,Izhevsk
Kaliningrad,Kaliningrad
Kaluga,Kaluga
Kamensk-Uralsky,Kamensk-Uralsky
Kamyshin,Kamyshin
Kaspiysk,Kaspiysk
Kazan,Kazan
Kemerovo,Kemerovo
Khabarovsk,Khabarovsk
Khimki,Khimki
Kirov,Kirov
Kiselevsk,Kiselevsk
Kislovodsk,Kislovodsk
Kolomna,Kolomna
Komsomolsk-Na-Amure,Komsomolsk-Na-Amure
Kopeysk,Kopeysk
Korolev,Korolev
Kostroma,Kostroma
Kovrov,Kovrov
Krasnodar,Krasnodar
Krasnogorsk,Krasnogorsk
Krasnoyarsk,Krasnoyarsk
Kurgan,Kurgan
Kursk,Kursk
Kyzyl,Kyzyl
Leninsk-Kuznetsky,Leninsk-Kuznetsky
Lipetsk,Lipetsk
Lyubertsy,Lyubertsy
Magadan,Magadan
Magnitogorsk,Magnitogorsk
Maikop,Maikop
Makhachkala,Makhachkala
Mezhdurechensk,Mezhdurechensk
Miass,Miass
Moskva,Moscow
Murmansk,Murmansk
Murom,Murom
Mytishchi,Mytishchi
Naberezhnye Tchelny,Naberezhnye Tchelny
Nakhodka,Nakhodka
Naltchik,Naltchik
Nazran,Nazran
Neftekamsk,Neftekamsk
Nefteyugansk,Nefteyugansk
Nevinnomyssk,Nevinnomyssk
Nizhnekamsk,Nizhnekamsk
Nizhnevartovsk,Nizhnevartovsk
Nizhny Novgorod,Nizhny Novgorod
Nizhny Tagil,Nizhny Tagil
Noginsk,Noginsk
Norilsk,Norilsk
Novocheboksarsk,Novocheboksarsk
Novocherkassk,Novocherkassk
Novokuybishevsk,Novokuybishevsk
Novokuznetsk,Novokuznetsk
