cityid;name_en;country_en;nominatim_query;country_code;population;center_lat;center_lon
munich_de;Munich;Germany;Munich;DE;1471508;48.15391;11.54144
milan_it;Milan;Italy;Milan;IT;1362256;45.46587;9.15932
birmingham_gb;Birmingham;United Kingdom;Birmingham;GB;1085810;52.49495;-1.89025
odessa_ua;Odessa;Ukraine;Odessa;UA;992874;46.47686;30.71621
naples_it;Naples;Italy;Naples;IT;921618;40.85383;14.24301
marseille_fr;Marseille;France;Marseille;FR;861635;43.30034;5.40369
valencia_es;Valencia;Spain;Valencia;ES;788842;39.40789;-0.35445
frankfurtammain_de;Frankfurt Am Main;Germany;Frankfurt Am Main;DE;753056;50.11854;8.63165
zaporizhzhia_ua;Zaporizhzhia;Ukraine;Zaporizhzhia;UA;706116;47.83149;35.16107
lodz_pl;Lodz;Poland;Lodz;PL;677864;51.77029;19.47506
copenhagen_dk;Copenhagen;Denmark;;DK;638790;55.67188;12.54893
rotterdam_nl;Rotterdam;Netherlands;Rotterdam;NL;623652;51.92836;4.4932
kryvyirih_ua;Kryvyi Rih;Ukraine;Kryvyi Rih;UA;602390;47.91188;33.37017
dortmund_de;Dortmund;Germany;Dortmund;DE;587010;51.50417;7.47351
bremen_de;Bremen;Germany;Bremen;DE;569352;53.12445;8.73459
liverpool_gb;Liverpool;United Kingdom;Liverpool;GB;552267;53.4049;-2.91146
bristol_gb;Bristol;United Kingdom;Bristol;GB;535907;51.4718;-2.60772
nuremberg_de;Nuremberg;Germany;Nuremberg;DE;518365;49.43922;11.0991
thehague_nl;The Hague;Netherlands;The Hague;NL;514861;52.06679;4.285
manchester_gb;Manchester;United Kingdom;Manchester;GB;510746;53.44351;-2.23062
duisburg_de;Duisburg;Germany;Duisburg;DE;498590;51.44232;6.73025
gothenburg_se;Gothenburg;Sweden;Göteborg;SE;491629;57.71185;11.9558
toulouse_fr;Toulouse;France;Toulouse;FR;471941;43.60274;1.43275
